"2023","POINT (-87.6207628651 41.8983317935)",524088,539288
"2024","POINT (-87.6634164054 41.9867117999)",523748,502597
"2019","POINT (-87.7655016086 41.9272609555)",523609,499372
"2022","POINT (-87.6357600901 41.9074919303)",521426,474286
"2023","POINT (-87.6634164054 41.9867117999)",519918,494713
"2024","POINT (-87.6357600901 41.9074919303)",518811,470627
"2024","POINT (-87.6129454143 41.8919715078)",514435,476808
"2019","POINT (-87.6291051864 41.9002212967)",513734,445249
"2023","POINT (-87.7655016086 41.9272609555)",512220,477882
"2019","POINT (-87.5727819867 41.7615779081)",509806,492233
"2019","POINT (-87.6540070286 41.9147473049)",509358,459293
"2019","POINT (-87.6494887289 41.9226862843)",506523,478340
"2022","POINT (-87.6634164054 41.9867117999)",505865,477530
"2022","POINT (-87.6221729369 41.8706073724)",500550,465808
"2020","POINT (-87.6173580061 41.859349715)",500432,478941
"2024","POINT (-87.7172201 41.8601900192)",497874,486343
"2020","POINT (-87.5727819867 41.7615779081)",497547,481677
"2024","POINT (-87.6314065252 41.8710158803)",495424,441423
"2024","POINT (-87.6950125892 42.001571027)",491601,465118
"2024","POINT (-87.6563059862 41.7442051463)",491411,472472
"2021","POINT (-87.6634164054 41.9867117999)",488113,459017
"2024","POINT (-87.7696154528 41.7925923603)",486399,564934
"2024","POINT (-87.7234523905 41.9535821253)",483847,454063
"2019","POINT (-87.6634164054 41.9867117999)",482517,461800
"2019","POINT (-87.714003807 41.8390869059)",481618,468978
"2022","POINT (-87.6197106717 41.8950334495)",479836,570486
"2023","POINT (-87.6314065252 41.8710158803)",478585,424547
"2019","POINT (-87.6241352979 41.8492467545)",475004,448049
"2024","POINT (-87.6701668569 42.0096228806)",474427,441039
"2024","POINT (-87.7209182385 41.9000696026)",474123,469232
"2020","POINT (-87.6188683546 41.8909220259)",472750,469650
"2024","POINT (-87.6317173661 41.9146162864)",472284,479452
"2023","POINT (-87.7172201 41.8601900192)",472250,459882
"2022","POINT (-87.5727819867 41.7615779081)",471008,457933
"2023","POINT (-87.7234523905 41.9535821253)",470364,439871
"2019","POINT (-87.7234523905 41.9535821253)",469648,452650
"2023","POINT (-87.6950125892 42.001571027)",469154,440328
"2023","POINT (-87.6563059862 41.7442051463)",469145,450952
"2024","POINT (-87.6233665115 41.7065878819)",469056,448864
"2023","POINT (-87.6701668569 42.0096228806)",468113,434288
"2020","POINT (-87.6428084655 41.8853000224)",466958,439719
"2024","POINT (-87.6499072264 41.9049353016)",465286,464140
"2022","POINT (-87.657005027 41.8790669938)",462836,404111
"2019","POINT (-87.7209182385 41.9000696026)",460486,438917
"2024","POINT (-87.714003807 41.8390869059)",458217,443826
"2023","POINT (-87.6129454143 41.8919715078)",458192,433949
"2023","POINT (-87.7209182385 41.9000696026)",457990,452185
"2022","POINT (-87.6701668569 42.0096228806)",455474,419051
"2022","POINT (-87.7655016086 41.9272609555)",454476,426306
"2023","POINT (-87.7696154528 41.7925923603)",454035,529619
"2021","POINT (-87.6558787862 41.96581197)",453576,437524
"2021","POINT (-87.5727819867 41.7615779081)",452767,436061
"2022","POINT (-87.7234523905 41.9535821253)",450424,413145
"2019","POINT (-87.6517705068 41.9426918444)",449905,391405
"2022","POINT (-87.6558787862 41.96581197)",448365,435952
"2018","POINT (-87.9030396611 41.9790708201)",446541,559346
"2023","POINT (-87.6317173661 41.9146162864)",446102,451218
"2021","POINT (-87.6701668569 42.0096228806)",444616,407857
"2019","POINT (-87.6950125892 42.001571027)",444049,424220
"2019","POINT (-87.7172201 41.8601900192)",441103,434029
"2024","POINT (-87.6558787862 41.96581197)",439970,426995
"2024","POINT (-87.6161341112 41.7632467988)",439743,421984
"2021","POINT (-87.6428084655 41.8853000224)",437170,417830
"2022","POINT (-87.592310855 41.794090253)",436942,435245
"2022","POINT (-87.6207628651 41.8983317935)",436867,461271
"2023","POINT (-87.6558787862 41.96581197)",436044,425276
"2023","POINT (-87.6233665115 41.7065878819)",435257,412113
"2024","POINT (-87.7633990316 41.9540276487)",434751,400016
"2022","POINT (-87.6950125892 42.001571027)",434192,407578
"2020","POINT (-87.6634164054 41.9867117999)",434162,411360
"2023","POINT (-87.592310855 41.794090253)",433708,434632
"2023","POINT (-87.714003807 41.8390869059)",432379,418372
"2023","POINT (-87.6499072264 41.9049353016)",431866,430665
"2025","POINT (-87.9030396611 41.9790708201)",430969,490345
"2024","POINT (-87.592310855 41.794090253)",429453,431648
"2019","POINT (-87.6341560931 41.922082541)",426414,432422
"2020","POINT (-87.642648998 41.8792550844)",425317,519514
"2019","POINT (-87.6308650266 41.9058577688)",424745,350820
"2019","POINT (-87.6709450752 41.9083786693)",424491,382117
"2023","POINT (-87.6161341112 41.7632467988)",423721,408903
"2019","POINT (-87.6515625922 41.9363101308)",422756,410197
"2019","POINT (-87.6563059862 41.7442051463)",420537,399232
"2022","POINT (-87.7209182385 41.9000696026)",418465,408197
"2019","POINT (-87.7633990316 41.9540276487)",417091,392722
"2024","POINT (-87.6012851221 41.7904693995)",415342,359145
"2019","POINT (-87.6513108767 41.9290469366)",414127,364283
"2020","POINT (-87.6558787862 41.96581197)",413216,402007
"2019","POINT (-87.6701668569 42.0096228806)",411208,388815
"2023","POINT (-87.7633990316 41.9540276487)",409891,375883
"2020","POINT (-87.7172201 41.8601900192)",408796,396603
"2019","POINT (-87.592310855 41.794090253)",408298,408484
"2020","POINT (-87.7209182385 41.9000696026)",408136,389850
"2021","POINT (-87.7655016086 41.9272609555)",406732,379441
"2024","POINT (-87.6159695226 41.7402057565)",404736,387644
"2020","POINT (-87.6563059862 41.7442051463)",403156,383882
"2019","POINT (-87.6161341112 41.7632467988)",401722,384220
"2022","POINT (-87.7172201 41.8601900192)",401641,394700
"2022","POINT (-87.6129454143 41.8919715078)",401514,372584
"2024","POINT (-87.667569312 41.8502663663)",399816,396983
"2021","POINT (-87.6950125892 42.001571027)",399557,372960
"2024","POINT (-87.6241352979 41.8492467545)",399381,402081
"2021","POINT (-87.7234523905 41.9535821253)",398574,368351
"2021","POINT (-87.7209182385 41.9000696026)",397120,385482
"2022","POINT (-87.6314065252 41.8710158803)",396845,346860
"2020","POINT (-87.7655016086 41.9272609555)",395952,373225
"2023","POINT (-87.6159695226 41.7402057565)",394971,378959
"2023","POINT (-87.667569312 41.8502663663)",392285,385893
"2022","POINT (-87.7696154528 41.7925923603)",392111,462440
"2019","POINT (-87.6159695226 41.7402057565)",392038,376058
"2024","POINT (-87.6429586652 41.8679024175)",390949,418445
"2020","POINT (-87.6701668569 42.0096228806)",389086,365321
"2019","POINT (-87.6233665115 41.7065878819)",389076,367489
"2018","POINT (-87.6209929134 41.8849871918)",388946,440535
"2025","POINT (-87.6327464887 41.8809944707)",388348,413787
"2022","POINT (-87.6317173661 41.9146162864)",387941,388529
"2021","POINT (-87.7172201 41.8601900192)",386070,382216
"2022","POINT (-87.6563059862 41.7442051463)",382986,365484
"2022","POINT (-87.667569312 41.8502663663)",382701,369123
