"",323963,338596
"POINT (-87.6903405275 41.7462155842)",1384,1299
"POINT (-87.7320590255 41.7622466529)",1362,1439
"POINT (-87.6886749004 41.8713514005)",1345,992
"POINT (-87.5993944745 41.7662994252)",1331,1318
"POINT (-87.6862228603 41.7828367169)",1322,1219
"POINT (-87.6486268165 41.8270879119)",1320,1301
"POINT (-87.7215382944 41.9063227109)",1320,1108
"POINT (-87.6980008039 41.7681062939)",1316,1226
"POINT (-87.6537935286 41.9854724225)",1312,1418
"POINT (-87.693341249 41.7772872248)",1312,1064
"POINT (-87.7608129894 41.905820977)",1311,1202
"POINT (-87.6996630419 42.0156967498)",1306,1197
"POINT (-87.7622859818 41.9605182177)",1304,1249
"POINT (-87.6175761725 41.8002600946)",1297,1496
"POINT (-87.6280852818 41.6997566852)",1294,1205
"POINT (-87.7310024842 41.9426995777)",1292,1138
"POINT (-87.6675715595 41.83380026)",1289,1129
"POINT (-87.7021052472 41.8916970451)",1286,1515
"POINT (-87.5601889949 41.7535307093)",1281,1190
"POINT (-87.5994629948 41.6502216756)",1265,1148
"POINT (-87.7018845586 41.9047120004)",1262,1459
"POINT (-87.7101956338 41.915496209)",1239,769
"POINT (-87.6990971733 41.8081895757)",1238,1139
"POINT (-87.7520115624 41.8986254245)",1235,1139
"POINT (-87.6810252307 41.9067713317)",1233,1457
"POINT (-87.6298717446 41.7617023786)",1223,1157
"POINT (-87.770122842 41.8909693802)",1212,1066
"POINT (-87.6891259086 41.8919483818)",1194,966
"POINT (-87.672538401 41.9943810196)",1185,1181
"POINT (-87.6125639471 41.8416911186)",1178,993
"POINT (-87.5811855611 41.7606410373)",1177,1368
"POINT (-87.7383939059 41.9587978628)",1156,1250
"POINT (-87.6109393487 41.7921360843)",1155,925
"POINT (-87.6945342821 41.9079652463)",1150,938
"POINT (-87.7099873375 41.9374939696)",1147,762
"POINT (-87.5893233661 41.7696482642)",1141,989
"POINT (-87.6559368296 41.7477324924)",1135,1018
"POINT (-87.6871159899 42.0157199072)",1120,992
"POINT (-87.7210167687 41.964652354)",1120,864
"POINT (-87.6411836567 41.9164733164)",1118,1054
"POINT (-87.6323962405 41.6815616467)",1110,1001
"POINT (-87.6558149022 41.9955129914)",1107,1015
"POINT (-87.7239678299 41.9900642527)",1105,1293
"POINT (-87.7308987849 41.9572641084)",1103,1028
"POINT (-87.7603493864 41.8910854233)",1097,1048
"POINT (-87.6162675703 41.6960577638)",1090,980
"POINT (-87.5658238794 41.7686011013)",1083,926
"POINT (-87.6168216385 41.6891234369)",1079,1040
"POINT (-87.770385079 41.898425258)",1074,1066
"POINT (-87.6289833139 41.7686672562)",1069,837
"POINT (-87.6937939017 41.8759663)",1066,891
